lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10273,US,specialty,9982.stations.xmltv.tvmedia.ca,ESPN College Extra 1,ESPNCSE1,821,ESPNCSE1,821,,ESPN College Extra 1,,,,,
10273,US,specialty,15352.stations.xmltv.tvmedia.ca,ESPN College Extra 7,ESPNCSE7,827,ESPNCSE7,827,,ESPN College Extra 7,,,,,
10273,US,specialty,15445.stations.xmltv.tvmedia.ca,ESPN College Extra 8,ESPNCSE8,828,ESPNCSE8,828,,ESPN College Extra 8,,,,,
10273,US,specialty,33965.stations.xmltv.tvmedia.ca,ACC Network HD,ACCN-HD,829,ACCN-HD,829,,ACC Network HD,,,,,
10273,US,specialty,10321.stations.xmltv.tvmedia.ca,MLB Network Strike Zone HD,MLBSZ,834,MLBSZ,834,,MLB Network Strike Zone HD,,,,,
10273,US,specialty,7536.stations.xmltv.tvmedia.ca,NFL RedZone HD,NFLN,835,NFLN,835,,NFL RedZone HD,,,,,
10273,US,specialty,3388.stations.xmltv.tvmedia.ca,Starz HD - Eastern,STARZ-HD,840,STARZ-HD,840,,Starz HD - Eastern,,,,,
10273,US,specialty,7089.stations.xmltv.tvmedia.ca,Starz Edge HD - Eastern,EDGE-HD,842,EDGE-HD,842,,Starz Edge HD - Eastern,,,,,
10273,US,specialty,7090.stations.xmltv.tvmedia.ca,Starz In Black HD - Eastern,BSTZ-HD,844,BSTZ-HD,844,,Starz In Black HD - Eastern,,,,,
10273,US,specialty,7091.stations.xmltv.tvmedia.ca,Starz Kids & Family HD - Eastern,SRZK-HD,845,SRZK-HD,845,,Starz Kids & Family HD - Eastern,,,,,
10273,US,specialty,7087.stations.xmltv.tvmedia.ca,Starz Cinema HD - Eastern,CINEMA-HD,846,CINEMA-HD,846,,Starz Cinema HD - Eastern,,,,,
10273,US,specialty,7088.stations.xmltv.tvmedia.ca,Starz Comedy HD - Eastern,SRZC-HD,847,SRZC-HD,847,,Starz Comedy HD - Eastern,,,,,
10273,US,specialty,9026.stations.xmltv.tvmedia.ca,INDIEplex HD,INDIEHD,848,INDIEHD,848,,INDIEplex HD,,,,,
10273,US,specialty,8837.stations.xmltv.tvmedia.ca,RETROplex HD,RETRO,849,RETRO,849,,RETROplex HD,,,,,
10273,US,specialty,6083.stations.xmltv.tvmedia.ca,Starz Encore HD - Eastern,STZENHD,850,STZENHD,850,,Starz Encore HD - Eastern,,,,,
10273,US,specialty,11435.stations.xmltv.tvmedia.ca,Starz Encore Classic HD - Eastern,STZCLH,852,STZCLH,852,,Starz Encore Classic HD - Eastern,,,,,
10273,US,specialty,11439.stations.xmltv.tvmedia.ca,Starz Encore Westerns HD - Eastern,STZEWH,854,STZEWH,854,,Starz Encore Westerns HD - Eastern,,,,,
10273,US,specialty,11437.stations.xmltv.tvmedia.ca,Starz Encore Suspense HD - Eastern,STZESH,856,STZESH,856,,Starz Encore Suspense HD - Eastern,,,,,
10273,US,specialty,10814.stations.xmltv.tvmedia.ca,Starz Encore Black HD - Eastern,STZEBH,858,STZEBH,858,,Starz Encore Black HD - Eastern,,,,,
10273,US,specialty,10812.stations.xmltv.tvmedia.ca,Starz Encore Action HD - Eastern,STZAH,861,STZAH,861,,Starz Encore Action HD - Eastern,,,,,
10273,US,specialty,11441.stations.xmltv.tvmedia.ca,Starz Encore Family HD - Eastern,STZEFH,862,STZEFH,862,,Starz Encore Family HD - Eastern,,,,,
10273,US,specialty,10965.stations.xmltv.tvmedia.ca,Starz Encore Espanol,STZESP,863,STZESP,863,,Starz Encore Espanol,,,,,
10273,US,specialty,3034.stations.xmltv.tvmedia.ca,Paramount+ with Showtime - Eastern,PARSHO-HD,865,PARSHO-HD,865,,Paramount+ with Showtime - Eastern,,,,,
10273,US,specialty,10735.stations.xmltv.tvmedia.ca,Paramount+ with Showtime  West HD,PARSHOWHD,866,,866,,Paramount+ with Showtime  West HD,,,,,
10273,US,specialty,7110.stations.xmltv.tvmedia.ca,SHOXBET HD - Eastern,SHOBET-HD,867,SHOBET-HD,867,,SHOXBET HD - Eastern,,,,,
10273,US,specialty,7568.stations.xmltv.tvmedia.ca,SHOXBET HD - Pacific,SHOBET-HD,868,SHOBET-HD,868,,SHOXBET HD - Pacific,,,,,
10273,US,specialty,7111.stations.xmltv.tvmedia.ca,Showtime 2 HD - Eastern,SHO2,869,SHO2,869,,Showtime 2 HD - Eastern,,,,,
10273,US,specialty,7566.stations.xmltv.tvmedia.ca,Showtime 2 HD - Pacific,SHO2,870,SHO2,870,,Showtime 2 HD - Pacific,,,,,
10273,US,specialty,7107.stations.xmltv.tvmedia.ca,Showtime Extreme HD - Eastern,SHOWEX,873,SHOWEX,873,,Showtime Extreme HD - Eastern,,,,,
10273,US,specialty,7569.stations.xmltv.tvmedia.ca,Showtime Extreme HD - Pacific,SHOWE,874,SHOWE,874,,Showtime Extreme HD - Pacific,,,,,
10273,US,specialty,4352.stations.xmltv.tvmedia.ca,TMC HD - Eastern,TMCHD,885,TMCHD,885,,TMC HD - Eastern,,,,,
10273,US,specialty,7113.stations.xmltv.tvmedia.ca,TMC Xtra HD - Eastern,TMCX,887,TMCX,887,,TMC Xtra HD - Eastern,,,,,
10273,US,specialty,7610.stations.xmltv.tvmedia.ca,MGM+ HD - East,MGM-HD,895,MGM-HD,895,,MGM+ HD - East,,,,,
10273,US,specialty,11615.stations.xmltv.tvmedia.ca,MGM+ Hits HD - East,MGMT-HD,896,MGMT-HD,896,,MGM+ Hits HD - East,,,,,
10273,US,specialty,627.stations.xmltv.tvmedia.ca,HBO HD - Eastern Feed,HBO-HD,899,HBO-HD,899,,HBO HD - Eastern Feed,,,,,
10273,US,specialty,2629.stations.xmltv.tvmedia.ca,HBO HD - Pacific Feed,HBOP-HD,901,HBOP-HD,901,,HBO HD - Pacific Feed,,,,,
10273,US,specialty,6313.stations.xmltv.tvmedia.ca,HBO 2 - Eastern Feed HD,HBO2E-HD,902,HBO2E-HD,902,,HBO 2 - Eastern Feed HD,,,,,
10273,US,specialty,6314.stations.xmltv.tvmedia.ca,HBO 2 - Pacific Feed HD,HBO2P-HD,903,HBO2P-HD,903,,HBO 2 - Pacific Feed HD,,,,,
